subject,hemi,mask,annotated_feature,correlation
sub-19,left,temporal,hue,-0.004921636797287527
sub-19,left,temporal,face,-0.00835355990325258
sub-19,left,temporal,num_agents,-0.0003512697688392581
sub-19,left,temporal,social,-0.016379705011179826
sub-19,left,temporal,valence,-0.02888861195466827
sub-19,left,temporal,arousal,-0.00474008586025346
sub-19,left,temporal,pitch,0.003604179274412695
sub-19,left,temporal,amplitude,-0.006839546424136991
sub-19,left,temporal,music,-0.017885766709756907
sub-19,left,temporal,speaking,0.0021248459525074984
sub-19,left,temporal,turn_taking,-0.004426093905092439
sub-19,left,temporal,mentalization,-0.007580975064556609
sub-19,left,temporal,written_text,0.009824866076506724
sub-19,right,temporal,pixel,0.021619955793138995
sub-19,right,temporal,hue,-0.024467736187301276
sub-19,right,temporal,face,-0.017057440149864055
sub-19,right,temporal,num_agents,0.0014970882099420938
sub-19,right,temporal,social,-0.01963332453816533
sub-19,right,temporal,valence,-0.00974446019717792
sub-19,right,temporal,arousal,-0.009217829331266789
sub-19,right,temporal,pitch,0.001509082740583836
sub-19,right,temporal,amplitude,-0.002887384444970869
sub-19,right,temporal,music,-0.03211718641260014
sub-19,right,temporal,speaking,-1.5617608427177465e-05
sub-19,right,temporal,turn_taking,-0.0052174422166683335
sub-19,right,temporal,mentalization,-0.012395830818983919
sub-19,right,temporal,written_text,0.005920951315008462
