subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-23,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-23,amplitude,STS,,cca,1.0,0.001,2
sub-23,amplitude,temporal,,cca,0.31622776601683794,0.1,2
sub-23,amplitude,frontal,,cca,1e-05,0.1,2
sub-23,music,MT,,cca,0.1,0.0031622776601683794,1
sub-23,music,STS,,cca,1e-05,0.1,2
sub-23,music,temporal,,cca,1.0,3.1622776601683795e-05,2
sub-23,music,frontal,,cca,1.0,0.001,2
sub-23,speaking,MT,,cca,0.0001,0.0001,1
sub-23,speaking,STS,,cca,1.0,0.00031622776601683794,2
sub-23,speaking,temporal,,cca,1.0,0.31622776601683794,2
sub-23,speaking,frontal,,cca,1.0,0.00031622776601683794,2
sub-23,turn_taking,MT,,cca,1e-05,1.0,1
sub-23,turn_taking,STS,,cca,1.0,0.03162277660168379,2
sub-23,turn_taking,temporal,,cca,1.0,0.03162277660168379,2
sub-23,turn_taking,frontal,,cca,1.0,0.1,2
sub-23,mentalization,MT,,cca,0.01,0.0001,1
sub-23,mentalization,STS,,cca,1e-05,0.1,2
sub-23,mentalization,temporal,,cca,1e-05,0.0001,2
sub-23,mentalization,frontal,,cca,1.0,0.01,2
sub-23,written_text,MT,,cca,0.01,1e-05,1
sub-23,written_text,STS,,cca,1.0,0.01,2
sub-23,written_text,temporal,,cca,1.0,0.1,2
sub-23,written_text,frontal,,cca,1.0,0.1,2
sub-25,pixel,MT,,cca,0.01,0.01,1
sub-25,pixel,STS,,cca,1.0,0.00031622776601683794,2
sub-25,pixel,temporal,,cca,1.0,0.03162277660168379,2
sub-25,pixel,frontal,,cca,1.0,0.03162277660168379,2
sub-25,hue,MT,,cca,0.01,0.01,1
sub-25,hue,STS,,cca,1e-05,0.0031622776601683794,2
sub-25,hue,temporal,,cca,1e-05,0.1,2
sub-25,hue,frontal,,cca,1.0,0.1,2
sub-25,face,MT,,cca,0.01,0.03162277660168379,1
sub-25,face,STS,,cca,0.31622776601683794,0.0031622776601683794,2
sub-25,face,temporal,,cca,1e-05,0.0001,2
sub-25,face,frontal,,cca,1.0,0.0001,2
sub-25,num_agents,MT,,cca,1e-05,0.0001,1
sub-25,num_agents,STS,,cca,1.0,3.1622776601683795e-05,2
sub-25,num_agents,temporal,,cca,1.0,0.01,2
sub-25,num_agents,frontal,,cca,1e-05,0.0001,2
sub-25,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-25,social,STS,,cca,1e-05,3.1622776601683795e-05,2
sub-25,social,temporal,,cca,1e-05,0.01,2
sub-25,social,frontal,,cca,1.0,0.001,2
sub-25,valence,MT,,cca,0.01,0.31622776601683794,1
sub-25,valence,STS,,cca,1e-05,0.00031622776601683794,2
sub-25,valence,temporal,,cca,1e-05,0.03162277660168379,2
sub-25,valence,frontal,,cca,1e-05,1.0,2
sub-25,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-25,arousal,STS,,cca,1.0,0.03162277660168379,2
sub-25,arousal,temporal,,cca,1e-05,1.0,2
sub-25,arousal,frontal,,cca,1e-05,0.0001,2
sub-25,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-25,pitch,STS,,cca,1e-05,1e-05,2
